Date,Total System Usage,Area(This is for all Oahu,Energy Type,Energy Type Usage
12/17/2013 12:00:00,847.2,Total_System_Generation,Coal,178.4
12/17/2013 12:00:00,847.2,Total_System_Generation,BioFuel,0
12/17/2013 12:00:00,847.2,Total_System_Generation,WindFarm,4.3
12/17/2013 12:00:00,847.2,Total_System_Generation,Solar,8
12/17/2013 12:00:00,847.2,Total_System_Generation,Waste2Energy,49.3
12/17/2013 12:00:00,847.2,Total_System_Generation,Fossil_Fuel,607.2
12/18/2013 12:00:00,946.9,Total_System_Generation,Coal,179.7
12/18/2013 12:00:00,946.9,Total_System_Generation,BioFuel,0
12/18/2013 12:00:00,946.9,Total_System_Generation,WindFarm,10.9
12/18/2013 12:00:00,946.9,Total_System_Generation,Solar,67.7
12/18/2013 12:00:00,946.9,Total_System_Generation,Waste2Energy,68.7
12/18/2013 12:00:00,946.9,Total_System_Generation,Fossil_Fuel,619.9
12/19/2013 12:00:00,882.3,Total_System_Generation,Coal,179.3
12/19/2013 12:00:00,882.3,Total_System_Generation,BioFuel,0
12/19/2013 12:00:00,882.3,Total_System_Generation,WindFarm,14.9
12/19/2013 12:00:00,882.3,Total_System_Generation,Solar,8.4
12/19/2013 12:00:00,882.3,Total_System_Generation,Waste2Energy,67.1
12/19/2013 12:00:00,882.3,Total_System_Generation,Fossil_Fuel,612.6
12/20/2013 12:00:00,1,Total_System_Generation,Coal,169.7
12/20/2013 12:00:00,1,Total_System_Generation,BioFuel,0
12/20/2013 12:00:00,1,Total_System_Generation,WindFarm,23.8
12/20/2013 12:00:00,1,Total_System_Generation,Solar,129.5
12/20/2013 12:00:00,1,Total_System_Generation,Waste2Energy,71.8
12/20/2013 12:00:00,1,Total_System_Generation,Fossil_Fuel,632.2
12/21/2013 12:00:00,820.2,Total_System_Generation,Coal,180.3
12/21/2013 12:00:00,820.2,Total_System_Generation,BioFuel,0
12/21/2013 12:00:00,820.2,Total_System_Generation,WindFarm,10.2
12/21/2013 12:00:00,820.2,Total_System_Generation,Solar,6.2
12/21/2013 12:00:00,820.2,Total_System_Generation,Waste2Energy,42.8
12/21/2013 12:00:00,820.2,Total_System_Generation,Fossil_Fuel,580.7
12/22/2013 12:00:00,788.8,Total_System_Generation,Coal,180.1
12/22/2013 12:00:00,788.8,Total_System_Generation,BioFuel,0
12/22/2013 12:00:00,788.8,Total_System_Generation,WindFarm,7.9
12/22/2013 12:00:00,788.8,Total_System_Generation,Solar,7.1
12/22/2013 12:00:00,788.8,Total_System_Generation,Waste2Energy,44.8
12/22/2013 12:00:00,788.8,Total_System_Generation,Fossil_Fuel,548.9
12/23/2013 12:00:00,1,Total_System_Generation,Coal,180.1
12/23/2013 12:00:00,1,Total_System_Generation,BioFuel,0
12/23/2013 12:00:00,1,Total_System_Generation,WindFarm,23.4
12/23/2013 12:00:00,1,Total_System_Generation,Solar,115.8
12/23/2013 12:00:00,1,Total_System_Generation,Waste2Energy,45.3
12/23/2013 12:00:00,1,Total_System_Generation,Fossil_Fuel,639.7
12/24/2013 12:00:00,1,Total_System_Generation,Coal,180.1
12/24/2013 12:00:00,1,Total_System_Generation,BioFuel,0
12/24/2013 12:00:00,1,Total_System_Generation,WindFarm,17.1
12/24/2013 12:00:00,1,Total_System_Generation,Solar,113.6
12/24/2013 12:00:00,1,Total_System_Generation,Waste2Energy,45.9
12/24/2013 12:00:00,1,Total_System_Generation,Fossil_Fuel,645.1
12/25/2013 12:00:00,918.3,Total_System_Generation,Coal,179.6
12/25/2013 12:00:00,918.3,Total_System_Generation,BioFuel,0
12/25/2013 12:00:00,918.3,Total_System_Generation,WindFarm,17.9
12/25/2013 12:00:00,918.3,Total_System_Generation,Solar,154.4
12/25/2013 12:00:00,918.3,Total_System_Generation,Waste2Energy,49
12/25/2013 12:00:00,918.3,Total_System_Generation,Fossil_Fuel,517.4
12/26/2013 12:00:00,898.3,Total_System_Generation,Coal,180.8
12/26/2013 12:00:00,898.3,Total_System_Generation,BioFuel,0
12/26/2013 12:00:00,898.3,Total_System_Generation,WindFarm,6.1
12/26/2013 12:00:00,898.3,Total_System_Generation,Solar,5.7
12/26/2013 12:00:00,898.3,Total_System_Generation,Waste2Energy,47.3
12/26/2013 12:00:00,898.3,Total_System_Generation,Fossil_Fuel,658.4
12/27/2013 12:00:00,873.5,Total_System_Generation,Coal,179.5
12/27/2013 12:00:00,873.5,Total_System_Generation,BioFuel,0
12/27/2013 12:00:00,873.5,Total_System_Generation,WindFarm,23.6
12/27/2013 12:00:00,873.5,Total_System_Generation,Solar,7.2
12/27/2013 12:00:00,873.5,Total_System_Generation,Waste2Energy,45.5
12/27/2013 12:00:00,873.5,Total_System_Generation,Fossil_Fuel,617.7
12/28/2013 12:00:00,808.5,Total_System_Generation,Coal,180.1
12/28/2013 12:00:00,808.5,Total_System_Generation,BioFuel,0
12/28/2013 12:00:00,808.5,Total_System_Generation,WindFarm,17.9
12/28/2013 12:00:00,808.5,Total_System_Generation,Solar,7.8
12/28/2013 12:00:00,808.5,Total_System_Generation,Waste2Energy,44.8
12/28/2013 12:00:00,808.5,Total_System_Generation,Fossil_Fuel,557.9
12/29/2013 12:00:00,745.3,Total_System_Generation,Coal,179.1
12/29/2013 12:00:00,745.3,Total_System_Generation,BioFuel,0
12/29/2013 12:00:00,745.3,Total_System_Generation,WindFarm,15.1
12/29/2013 12:00:00,745.3,Total_System_Generation,Solar,6.2
12/29/2013 12:00:00,745.3,Total_System_Generation,Waste2Energy,47.4
12/29/2013 12:00:00,745.3,Total_System_Generation,Fossil_Fuel,497.5
12/30/2013 12:00:00,882.1,Total_System_Generation,Coal,180.2
12/30/2013 12:00:00,882.1,Total_System_Generation,BioFuel,0
12/30/2013 12:00:00,882.1,Total_System_Generation,WindFarm,28.3
12/30/2013 12:00:00,882.1,Total_System_Generation,Solar,6.3
12/30/2013 12:00:00,882.1,Total_System_Generation,Waste2Energy,43.8
12/30/2013 12:00:00,882.1,Total_System_Generation,Fossil_Fuel,623.5
12/31/2013 12:00:00,991.7,Total_System_Generation,Coal,179.7
12/31/2013 12:00:00,991.7,Total_System_Generation,BioFuel,0
12/31/2013 12:00:00,991.7,Total_System_Generation,WindFarm,7.6
12/31/2013 12:00:00,991.7,Total_System_Generation,Solar,117.9
12/31/2013 12:00:00,991.7,Total_System_Generation,Waste2Energy,42.4
